zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
90002,2015.00,Apr,18254.95,3.49,18254.95,1
90022,2015.00,Apr,16370.60,2.67,11015.60,1
90262,2015.00,Apr,52040.94,9.05,44008.44,4
90805,2015.00,Apr,82576.62,14.09,66187.87,5
90806,2015.00,Apr,52329.08,9.32,43539.15,3
90810,2015.00,Apr,13348.42,1.92,13348.42,1
91732,2015.00,Apr,15175.74,2.14,10800.74,1
91744,2015.00,Apr,20780.81,3.79,13194.56,1
91746,2015.00,Apr,22054.65,3.79,22054.65,1
92111,2015.00,Apr,12155.44,2.84,12155.44,1
92113,2015.00,Apr,12155.44,1.78,8585.44,1
92154,2015.00,Apr,15359.41,2.11,10041.50,1
92240,2015.00,Apr,49553.81,10.53,49553.81,3
92307,2015.00,Apr,21495.64,4.48,21495.64,1
92363,2015.00,Apr,122785.12,30.65,103675.12,7
92395,2015.00,Apr,14830.51,3.14,14830.51,1
92404,2015.00,Apr,35486.90,6.64,21854.40,2
92405,2015.00,Apr,24176.68,4.49,14936.68,1
92407,2015.00,Apr,18466.74,3.58,18466.74,1
92509,2015.00,Apr,24078.70,4.77,14436.20,2
92582,2015.00,Apr,12702.54,2.46,7697.54,1
93227,2015.00,Apr,51068.01,10.54,39019.26,3
93241,2015.00,Apr,56074.59,11.59,32869.59,4
93247,2015.00,Apr,27086.07,5.57,15929.82,2
93257,2015.00,Apr,141645.82,27.55,102857.07,8
93274,2015.00,Apr,17073.03,3.21,17073.03,1
93286,2015.00,Apr,64432.89,12.77,38751.64,4
93405,2015.00,Apr,12560.39,2.45,12560.39,1
93422,2015.00,Apr,37807.93,7.02,37807.93,3
93444,2015.00,Apr,29034.32,6.31,29034.32,2
93445,2015.00,Apr,12734.98,2.46,12734.98,1
93446,2015.00,Apr,28106.46,5.83,28106.46,2
93543,2015.00,Apr,32818.13,5.00,32818.13,1
93630,2015.00,Apr,22029.00,3.15,22029.00,1
93905,2015.00,Apr,25819.45,4.89,25819.45,2
93907,2015.00,Apr,11687.10,1.93,7828.35,1
93927,2015.00,Apr,27544.36,6.22,27544.36,2
94124,2015.00,Apr,18571.73,3.36,18571.73,1
94601,2015.00,Apr,22030.79,3.89,17295.51,2
94607,2015.00,Apr,17387.50,2.67,17387.50,1
94804,2015.00,Apr,11555.54,1.23,5837.75,1
95076,2015.00,Apr,21539.22,3.54,14486.72,1
95453,2015.00,Apr,18936.69,4.63,18936.69,1
95470,2015.00,Apr,23044.25,5.00,23044.25,1
95492,2015.00,Apr,9839.94,1.56,9839.94,1
95605,2015.00,Apr,13069.83,2.61,7924.83,1
95951,2015.00,Apr,24893.42,5.21,24893.42,2
96021,2015.00,Apr,17290.07,3.49,17290.07,1
96080,2015.00,Apr,38408.97,8.02,38408.97,2
90047,2015.00,May,9128.77,1.34,6451.27,1
90222,2015.00,May,46519.24,8.69,28852.99,2
90262,2015.00,May,32465.43,5.42,21457.93,2
90280,2015.00,May,16664.36,2.41,16664.36,1
