zip_code,year,month,market_total_cost,market_total_kw,market_count
90249,2015.0,Apr,34020.0,3.3,1
90274,2015.0,Apr,29999.0,5.6,1
90601,2015.0,Apr,26015.8,5.9,1
90703,2015.0,Apr,34679.0,6.1,1
90746,2015.0,Apr,30000.0,5.8,1
90814,2015.0,Apr,21900.0,5.2,1
91351,2015.0,Apr,28411.11,7.0,1
91355,2015.0,Apr,22500.0,5.3,1
91377,2015.0,Apr,15300.0,3.9,1
91768,2015.0,Apr,25182.43,12.62,2
91780,2015.0,Apr,15606.0,2.63,1
91786,2015.0,Apr,26140.0,2.6,1
91901,2015.0,Apr,210395.0,41.62,7
91902,2015.0,Apr,247845.0,49.77,6
91910,2015.0,Apr,194916.0,37.82,8
91911,2015.0,Apr,99788.0,15.64,4
91913,2015.0,Apr,231369.0,47.85,12
91914,2015.0,Apr,62879.0,18.05,3
91915,2015.0,Apr,167756.0,31.09,7
91932,2015.0,Apr,41653.0,5.68,2
91935,2015.0,Apr,305008.0,66.4,8
91941,2015.0,Apr,290026.0,56.24,11
91942,2015.0,Apr,55901.0,10.76,2
91945,2015.0,Apr,45389.0,8.59,2
91950,2015.0,Apr,33000.0,4.79,1
91962,2015.0,Apr,49213.0,6.71,2
91977,2015.0,Apr,76499.0,13.72,5
91978,2015.0,Apr,43464.0,8.45,2
92003,2015.0,Apr,103058.0,20.66,2
92004,2015.0,Apr,120577.0,25.36,5
92007,2015.0,Apr,117847.0,22.25,4
92008,2015.0,Apr,112033.0,17.92,4
92009,2015.0,Apr,186215.0,40.38,7
92010,2015.0,Apr,83474.0,15.44,3
92011,2015.0,Apr,81722.0,16.17,3
92014,2015.0,Apr,89520.0,12.52,2
92019,2015.0,Apr,472991.0,95.01,16
92020,2015.0,Apr,349554.0,77.33,11
92021,2015.0,Apr,213679.0,55.81,10
92024,2015.0,Apr,258795.0,58.04,11
92025,2015.0,Apr,192899.0,35.92,6
92026,2015.0,Apr,90339.0,20.54,4
92027,2015.0,Apr,143352.0,30.82,5
92028,2015.0,Apr,607282.0,132.86,19
92029,2015.0,Apr,300706.0,64.01,9
92037,2015.0,Apr,290866.0,59.51,11
92040,2015.0,Apr,300741.0,77.07,12
92054,2015.0,Apr,32493.0,10.54,2
92056,2015.0,Apr,173000.0,32.95,7
92057,2015.0,Apr,308035.0,63.1,11
92058,2015.0,Apr,57942.0,9.87,2
92061,2015.0,Apr,12150.0,3.08,1
92064,2015.0,Apr,537543.0,114.02,14
92065,2015.0,Apr,241103.0,78.86,11
92069,2015.0,Apr,206277.0,34.92,8
92071,2015.0,Apr,392463.0,80.9,18
92075,2015.0,Apr,24165.0,5.08,1
92078,2015.0,Apr,158999.0,35.11,9
92081,2015.0,Apr,129918.0,25.6,6
92082,2015.0,Apr,459367.0,97.74,15
92083,2015.0,Apr,25000.0,6.72,1
92084,2015.0,Apr,197338.0,41.05,8
92102,2015.0,Apr,22880.0,2.9,1
92103,2015.0,Apr,160443.0,35.19,8
92105,2015.0,Apr,96190.0,16.62,6
92106,2015.0,Apr,36991.0,6.99,1
92107,2015.0,Apr,71523.0,15.87,5
92109,2015.0,Apr,147523.0,37.41,8
92110,2015.0,Apr,65752.0,13.26,3
92111,2015.0,Apr,66495.0,12.64,3
92113,2015.0,Apr,14994.0,2.67,1
92114,2015.0,Apr,332561.0,57.59,15
92115,2015.0,Apr,79674.0,15.15,4
92116,2015.0,Apr,128742.0,27.71,5
92117,2015.0,Apr,233559.0,47.26,11
92118,2015.0,Apr,83758.0,23.89,3
92119,2015.0,Apr,141212.0,26.99,6
92120,2015.0,Apr,251652.0,62.78,8
92122,2015.0,Apr,28920.0,3.65,1
92123,2015.0,Apr,57851.0,9.36,2
92124,2015.0,Apr,118669.0,35.71,6
92126,2015.0,Apr,210686.0,37.42,11
92127,2015.0,Apr,423838.0,90.99,14
92128,2015.0,Apr,288831.0,50.78,12
92129,2015.0,Apr,269341.0,48.61,11
92130,2015.0,Apr,220803.0,45.95,7
92131,2015.0,Apr,515733.0,103.64,17
92139,2015.0,Apr,56000.0,7.91,2
92154,2015.0,Apr,196597.0,35.63,9
92173,2015.0,Apr,65476.0,11.52,3
92211,2015.0,Apr,59477.0,11.2,1
92223,2015.0,Apr,88602.47,12.8,2
92270,2015.0,Apr,47088.0,9.2,1
92277,2015.0,Apr,15375.0,4.5,1
92308,2015.0,Apr,22933.35,4.5,1
92503,2015.0,Apr,25486.43,5.4,1
92507,2015.0,Apr,9970.96,2.43,2
92509,2015.0,Apr,25345.0,7.5,2
92532,2015.0,Apr,50362.0,5.4,1
92545,2015.0,Apr,22000.0,7.36,1
92557,2015.0,Apr,19813.0,2.4,1
92587,2015.0,Apr,42350.0,4.3,1
92592,2015.0,Apr,12000.0,7.1,1
92624,2015.0,Apr,23000.0,6.44,1
92629,2015.0,Apr,26000.0,5.85,1
92653,2015.0,Apr,49108.0,13.81,2
92655,2015.0,Apr,22491.0,3.99,1
92673,2015.0,Apr,107426.0,23.29,3
92675,2015.0,Apr,20832.0,3.93,1
92677,2015.0,Apr,143132.0,29.85,6
92691,2015.0,Apr,102560.0,21.55,3
92694,2015.0,Apr,254993.0,52.24,9
92705,2015.0,Apr,26437.0,8.37,1
92845,2015.0,Apr,28775.0,4.7,1
92860,2015.0,Apr,15976.87,5.8,1
92868,2015.0,Apr,30058.0,7.1,1
92879,2015.0,Apr,76315.0,11.11,1
92882,2015.0,Apr,35548.2,13.5,1
93010,2015.0,Apr,25000.0,5.9,1
93110,2015.0,Apr,32000.0,3.8,1
93534,2015.0,Apr,28414.93,6.47,2
93536,2015.0,Apr,33140.84,7.17,1
93555,2015.0,Apr,22359.0,5.8,1
90046,2015.0,May,21290.0,4.8,1
90220,2015.0,May,24655.5,4.0,2
90232,2015.0,May,14500.0,3.68,1
90240,2015.0,May,27476.0,6.4,1
90241,2015.0,May,29286.4,4.94,1
90245,2015.0,May,22398.99,4.63,1
90248,2015.0,May,21244.56,3.79,1
90254,2015.0,May,13000.0,2.2,1
90265,2015.0,May,52500.0,14.1,1
90266,2015.0,May,35681.0,8.3,1
90274,2015.0,May,134238.0,24.99,3
90275,2015.0,May,112180.0,18.68,2
90277,2015.0,May,18000.0,3.52,1
90278,2015.0,May,26900.0,5.57,1
90301,2015.0,May,16200.0,2.35,1
90302,2015.0,May,46900.0,2.8,1
90604,2015.0,May,27651.0,12.62,2
90605,2015.0,May,31546.2,5.37,2
90620,2015.0,May,41000.0,10.51,2
90621,2015.0,May,131286.0,21.39,4
90623,2015.0,May,96936.0,20.52,3
90630,2015.0,May,65531.0,12.86,2
90631,2015.0,May,25293.0,4.25,1
90638,2015.0,May,24690.0,5.36,1
90640,2015.0,May,18049.05,3.49,1
90701,2015.0,May,24640.0,7.8,1
90706,2015.0,May,62326.52,13.5,2
90713,2015.0,May,46740.0,8.38,2
90720,2015.0,May,31000.0,6.37,1
90740,2015.0,May,40556.0,8.34,2
90745,2015.0,May,13312.0,2.24,1
90803,2015.0,May,35000.0,7.46,1
90805,2015.0,May,58251.07,10.75,4
90806,2015.0,May,32830.72,5.35,2
90807,2015.0,May,26624.0,4.57,1
90808,2015.0,May,57813.0,15.69,4
90810,2015.0,May,26624.0,4.58,1
90815,2015.0,May,151139.88,29.25,3
91001,2015.0,May,39072.3,10.76,2
91006,2015.0,May,130024.8,41.61,6
91010,2015.0,May,16200.0,2.35,1
91016,2015.0,May,16000.0,3.7,1
91030,2015.0,May,14643.2,2.46,1
91104,2015.0,May,9875.0,2.0,1
91301,2015.0,May,26781.0,6.23,1
91302,2015.0,May,20400.0,4.77,1
91320,2015.0,May,110249.0,22.69,4
91350,2015.0,May,56049.66,25.06,6
91351,2015.0,May,30000.0,5.52,1
91354,2015.0,May,119469.0,26.46,13
91355,2015.0,May,133505.0,21.63,5
91360,2015.0,May,49280.0,8.32,2
91361,2015.0,May,25000.0,4.5,1
91362,2015.0,May,52284.81,10.73,1
91381,2015.0,May,57475.2,16.28,2
91390,2015.0,May,118119.24,19.62,3
91701,2015.0,May,31502.0,12.32,3
91706,2015.0,May,44390.0,7.49,1
91709,2015.0,May,10446.0,7.96,2
91710,2015.0,May,95283.4,21.47,5
91711,2015.0,May,64302.0,21.16,3
91722,2015.0,May,117637.8,18.24,4
91723,2015.0,May,81264.0,6.28,2
91724,2015.0,May,57688.0,11.38,2
91730,2015.0,May,55186.93,12.72,4
91732,2015.0,May,104393.0,21.22,4
91737,2015.0,May,130227.0,30.46,5
91739,2015.0,May,244921.34,49.6,11
91741,2015.0,May,137558.0,25.89,5
91744,2015.0,May,39960.0,6.8,1
91745,2015.0,May,143377.0,34.58,6
91746,2015.0,May,29286.4,4.94,1
91748,2015.0,May,18278.0,3.07,1
91750,2015.0,May,74608.5,13.56,2
91752,2015.0,May,87091.1,24.3,4
91754,2015.0,May,66000.0,8.73,2
91761,2015.0,May,192402.5,36.79,6
91762,2015.0,May,27501.0,6.19,2
91764,2015.0,May,12300.0,1.74,1
91765,2015.0,May,82659.0,15.66,2
91766,2015.0,May,41000.0,4.72,2
91767,2015.0,May,26350.0,5.31,1
91770,2015.0,May,12740.0,2.24,1
91773,2015.0,May,85778.5,15.72,3
91775,2015.0,May,53955.1,8.36,2
91780,2015.0,May,54791.5,10.43,2
91784,2015.0,May,38230.15,14.91,3
91786,2015.0,May,32000.0,6.16,1
91789,2015.0,May,12600.0,2.63,1
91790,2015.0,May,75570.0,12.0,2
91791,2015.0,May,59279.2,10.82,2
91901,2015.0,May,379125.0,83.97,12
91902,2015.0,May,272571.0,55.2,8
91905,2015.0,May,36600.0,10.51,1
91910,2015.0,May,491114.0,88.86,18
91911,2015.0,May,213397.0,33.98,7
91913,2015.0,May,248347.0,47.83,11
91914,2015.0,May,93448.0,17.4,3
91915,2015.0,May,149634.0,27.44,7
91916,2015.0,May,24806.0,4.16,1
91932,2015.0,May,33710.0,6.24,2
91935,2015.0,May,296120.0,67.16,9
91941,2015.0,May,836416.0,121.86,21
91942,2015.0,May,246919.0,46.93,10
91945,2015.0,May,104624.0,18.84,4
91950,2015.0,May,42073.0,9.63,2
91962,2015.0,May,22000.0,4.37,1
91977,2015.0,May,291563.0,54.12,14
91978,2015.0,May,41500.0,10.62,2
92003,2015.0,May,102749.0,20.06,4
92004,2015.0,May,64010.0,26.0,3
92007,2015.0,May,147028.0,24.86,5
92008,2015.0,May,313561.0,79.16,12
92009,2015.0,May,822347.0,186.42,29
92010,2015.0,May,47180.0,18.12,3
92011,2015.0,May,360466.0,71.95,14
92014,2015.0,May,136330.0,27.53,5
92019,2015.0,May,668795.0,168.78,26
92020,2015.0,May,258495.0,46.54,10
92021,2015.0,May,522022.0,118.87,16
92024,2015.0,May,642410.0,135.46,26
92025,2015.0,May,373530.0,81.21,12
92026,2015.0,May,337133.0,67.11,12
92027,2015.0,May,510661.0,106.2,20
92028,2015.0,May,665723.0,132.38,20
92029,2015.0,May,470329.0,105.05,16
92037,2015.0,May,607013.0,76.35,13
92040,2015.0,May,346549.0,70.74,14
92054,2015.0,May,136887.0,25.31,6
92056,2015.0,May,536300.0,117.63,23
92057,2015.0,May,347568.0,65.03,15
92058,2015.0,May,43483.0,8.4,2
92061,2015.0,May,12150.0,3.03,1
92064,2015.0,May,985113.0,212.87,34
92065,2015.0,May,422480.0,97.6,15
92067,2015.0,May,840912.0,180.48,13
92069,2015.0,May,473119.0,102.42,18
92071,2015.0,May,755544.0,148.6,29
92075,2015.0,May,80641.0,14.96,2
92078,2015.0,May,676844.0,138.31,28
92081,2015.0,May,272614.0,56.61,10
92082,2015.0,May,396383.0,105.95,14
92083,2015.0,May,229550.0,40.76,10
92084,2015.0,May,413513.0,100.9,15
92091,2015.0,May,104500.0,24.46,1
92102,2015.0,May,39427.0,8.57,3
92103,2015.0,May,125613.0,23.94,4
92104,2015.0,May,107722.0,21.88,5
92105,2015.0,May,58065.0,9.72,4
92106,2015.0,May,268123.0,53.76,9
92107,2015.0,May,74786.0,13.92,3
92109,2015.0,May,153805.0,29.97,9
92110,2015.0,May,228459.0,44.78,8
92111,2015.0,May,195222.0,37.21,10
92113,2015.0,May,30531.0,6.95,1
92114,2015.0,May,402856.0,72.04,15
92115,2015.0,May,376497.0,74.42,15
92116,2015.0,May,36317.0,6.1,2
92117,2015.0,May,394955.0,84.63,18
92118,2015.0,May,176292.0,34.2,9
92119,2015.0,May,577196.0,112.4,23
92120,2015.0,May,211520.0,50.95,9
92121,2015.0,May,22000.0,5.34,1
92122,2015.0,May,81478.0,17.22,3
92123,2015.0,May,84756.0,17.26,4
92124,2015.0,May,102199.0,22.64,6
92126,2015.0,May,339630.0,62.11,16
92127,2015.0,May,857827.0,175.06,29
92128,2015.0,May,386396.0,80.28,18
92129,2015.0,May,633467.0,122.54,26
92130,2015.0,May,889495.0,178.64,30
92131,2015.0,May,736673.0,168.32,28
92139,2015.0,May,94314.0,15.46,4
92154,2015.0,May,252721.0,46.82,12
92173,2015.0,May,20000.0,4.22,1
92211,2015.0,May,37581.0,22.62,3
92223,2015.0,May,180734.0,43.38,9
92230,2015.0,May,23942.0,5.25,1
92234,2015.0,May,77959.0,26.35,4
92240,2015.0,May,167902.55,37.74,11
92252,2015.0,May,38448.0,11.2,2
92260,2015.0,May,127855.0,32.63,4
92262,2015.0,May,209718.81,63.08,10
92264,2015.0,May,184095.7,64.22,10
92270,2015.0,May,171624.0,98.2,9
92277,2015.0,May,25225.0,6.6,1
92284,2015.0,May,28500.0,5.2,1
92301,2015.0,May,13776.0,7.25,2
92307,2015.0,May,60817.5,17.3,4
92308,2015.0,May,156498.12,38.79,6
92311,2015.0,May,22878.0,5.0,1
92313,2015.0,May,53360.0,8.91,2
92320,2015.0,May,39141.38,8.46,2
92335,2015.0,May,50635.0,7.91,2
92336,2015.0,May,242777.4,56.16,11
92337,2015.0,May,40531.0,12.69,2
92342,2015.0,May,85737.0,16.15,3
92344,2015.0,May,52837.0,7.01,2
92345,2015.0,May,60035.0,14.45,4
92346,2015.0,May,60129.78,22.13,4
92352,2015.0,May,23460.0,5.15,1
92359,2015.0,May,42143.2,6.2,2
92363,2015.0,May,15523.21,2.78,1
92371,2015.0,May,69947.0,16.31,4
92373,2015.0,May,147328.0,36.82,5
92374,2015.0,May,144899.0,25.97,6
92376,2015.0,May,66002.2,11.83,3
92377,2015.0,May,51059.0,8.75,2
92392,2015.0,May,62105.8,15.38,4
92394,2015.0,May,83237.0,18.33,4
92395,2015.0,May,43087.0,8.61,2
92399,2015.0,May,122109.95,24.69,5
92407,2015.0,May,135716.0,35.14,8
92503,2015.0,May,193071.9,34.59,7
92504,2015.0,May,37001.0,20.82,2
92506,2015.0,May,35700.0,8.91,1
92507,2015.0,May,193110.62,44.04,23
92508,2015.0,May,38000.0,8.86,1
92509,2015.0,May,164821.0,39.93,7
92530,2015.0,May,99432.67,18.92,5
92532,2015.0,May,68226.32,18.07,5
92544,2015.0,May,103635.75,21.1,4
92545,2015.0,May,137049.2,26.88,5
92549,2015.0,May,24984.0,4.88,1
92551,2015.0,May,34611.2,5.84,1
92553,2015.0,May,23500.0,3.51,1
92557,2015.0,May,97884.0,17.53,3
92562,2015.0,May,305148.0,75.13,10
92563,2015.0,May,412685.45,81.6,23
92570,2015.0,May,125014.77,22.17,8
92571,2015.0,May,196463.1,34.27,9
92582,2015.0,May,67086.0,27.09,5
92583,2015.0,May,23948.0,7.78,2
92584,2015.0,May,227662.28,47.5,12
92585,2015.0,May,49258.99,9.12,2
92586,2015.0,May,52380.0,9.83,2
92587,2015.0,May,55269.0,10.08,2
92590,2015.0,May,65932.0,11.76,1
92591,2015.0,May,39702.0,8.11,2
92592,2015.0,May,239963.0,64.68,10
92595,2015.0,May,281032.5,64.61,9
92596,2015.0,May,76381.5,16.01,5
92602,2015.0,May,107221.33,19.72,9
92603,2015.0,May,52290.0,9.4,2
92618,2015.0,May,17260.19,3.9,3
92620,2015.0,May,14812.0,3.04,1
92624,2015.0,May,25900.0,5.03,1
92626,2015.0,May,201061.0,39.61,8
92629,2015.0,May,237371.0,46.44,7
92630,2015.0,May,67847.0,21.93,4
92647,2015.0,May,132676.3,24.04,4
92648,2015.0,May,36000.0,10.2,1
92649,2015.0,May,42968.0,8.82,2
92651,2015.0,May,100606.0,24.86,4
92653,2015.0,May,261144.0,62.53,8
92660,2015.0,May,86498.0,15.26,2
92673,2015.0,May,101479.0,19.8,4
92675,2015.0,May,135896.0,29.18,5
92677,2015.0,May,239967.0,51.15,10
92679,2015.0,May,311547.0,66.53,9
92683,2015.0,May,100295.0,20.59,3
92688,2015.0,May,72063.5,18.63,4
92691,2015.0,May,68158.0,14.89,4
92692,2015.0,May,120890.0,28.6,5
92694,2015.0,May,277098.0,57.05,8
92703,2015.0,May,18826.0,3.16,1
92704,2015.0,May,28000.0,4.52,1
92705,2015.0,May,227217.0,44.59,3
92708,2015.0,May,96738.0,18.06,3
92780,2015.0,May,150918.0,28.28,5
92821,2015.0,May,60256.0,8.77,2
92835,2015.0,May,75836.0,14.78,3
92840,2015.0,May,22051.0,13.13,2
92844,2015.0,May,125097.4,14.07,4
92845,2015.0,May,38806.0,7.21,2
92860,2015.0,May,88714.5,16.6,3
92865,2015.0,May,79876.0,16.59,3
92867,2015.0,May,158962.17,46.27,7
92869,2015.0,May,72134.0,17.15,3
92870,2015.0,May,184490.8,32.68,7
92879,2015.0,May,118099.0,22.44,4
92880,2015.0,May,410314.28,75.32,20
92881,2015.0,May,181482.08,43.06,7
92882,2015.0,May,118851.0,32.67,7
92883,2015.0,May,255516.0,50.58,8
92886,2015.0,May,163060.12,38.3,6
92887,2015.0,May,117050.0,24.47,3
93003,2015.0,May,10500.0,2.28,1
93004,2015.0,May,24995.0,5.04,1
93010,2015.0,May,156506.0,26.94,5
93012,2015.0,May,130946.0,27.1,3
93015,2015.0,May,52692.58,13.25,2
93021,2015.0,May,111519.7,30.35,6
93023,2015.0,May,53160.0,11.28,2
93030,2015.0,May,30688.0,3.9,1
93036,2015.0,May,40435.0,7.27,2
93063,2015.0,May,38032.77,9.13,2
93065,2015.0,May,111334.32,29.03,5
93103,2015.0,May,21455.0,4.6,1
93105,2015.0,May,27245.0,4.73,1
93108,2015.0,May,27605.0,4.23,1
93110,2015.0,May,97389.5,16.33,3
93117,2015.0,May,43367.0,5.8,2
93202,2015.0,May,23961.6,4.13,1
93215,2015.0,May,73949.0,10.89,3
93219,2015.0,May,29286.0,4.97,1
93223,2015.0,May,51916.0,8.77,1
93227,2015.0,May,57670.09,12.0,4
93230,2015.0,May,271213.2,46.84,7
93257,2015.0,May,324598.0,54.85,10
93271,2015.0,May,53986.0,9.72,1
93272,2015.0,May,27956.2,8.92,2
93274,2015.0,May,154781.48,29.2,6
93277,2015.0,May,85688.2,25.07,4
93286,2015.0,May,68372.0,9.43,2
93291,2015.0,May,314314.0,75.58,13
93292,2015.0,May,75075.06,16.88,3
93505,2015.0,May,80726.0,14.46,4
93510,2015.0,May,33140.0,7.2,1
93514,2015.0,May,20008.38,9.05,2
93516,2015.0,May,25295.0,5.0,1
93527,2015.0,May,18121.0,4.87,1
93534,2015.0,May,213140.99,50.43,11
93535,2015.0,May,164285.57,31.29,9
93536,2015.0,May,287602.57,57.58,13
93543,2015.0,May,64576.0,9.65,2
93546,2015.0,May,30763.63,13.2,2
93550,2015.0,May,78059.0,12.54,3
93551,2015.0,May,251417.71,52.59,17
93552,2015.0,May,30618.0,5.17,1
93555,2015.0,May,275473.82,58.66,15
93560,2015.0,May,85375.05,17.8,3
93561,2015.0,May,62998.0,14.45,3
90046,2015.0,Jun,18086.19,2.36,1
90056,2015.0,Jun,26624.0,4.47,1
90061,2015.0,Jun,14256.82,3.79,1
90069,2015.0,Jun,22776.0,3.76,1
90210,2015.0,Jun,27648.0,4.67,1
90220,2015.0,Jun,15000.0,2.91,1
90222,2015.0,Jun,40718.38,6.7,2
90230,2015.0,Jun,23171.0,3.98,1
90232,2015.0,Jun,26990.0,5.33,1
90240,2015.0,Jun,81473.6,15.51,2
90241,2015.0,Jun,33280.0,5.62,1
90247,2015.0,Jun,33345.0,3.21,1
90250,2015.0,Jun,19440.0,2.16,1
90254,2015.0,Jun,64900.0,10.05,2
90260,2015.0,Jun,24206.0,4.34,1
90262,2015.0,Jun,35048.73,7.21,3
90265,2015.0,Jun,38665.0,7.6,1
90266,2015.0,Jun,13160.0,3.06,1
90274,2015.0,Jun,83000.0,14.97,2
90275,2015.0,Jun,180373.0,43.03,7
90277,2015.0,Jun,264208.0,25.48,4
90278,2015.0,Jun,30330.0,4.11,1
90303,2015.0,Jun,56275.0,6.58,1
90402,2015.0,Jun,26000.0,8.3,1
90403,2015.0,Jun,17537.73,3.5,1
90501,2015.0,Jun,20259.0,1.42,1
90502,2015.0,Jun,19905.0,2.4,1
90504,2015.0,Jun,23000.0,4.62,1
90601,2015.0,Jun,14900.0,2.42,1
90602,2015.0,Jun,44830.4,9.11,2
90603,2015.0,Jun,35243.0,6.48,1
90604,2015.0,Jun,59779.0,10.54,2
90605,2015.0,Jun,79844.0,12.55,2
90620,2015.0,Jun,183733.0,28.28,7
90621,2015.0,Jun,96179.66,14.75,3
90623,2015.0,Jun,110387.5,22.13,4
90630,2015.0,Jun,176506.2,26.37,6
90631,2015.0,Jun,62030.8,17.6,4
90638,2015.0,Jun,66804.15,9.2,2
90660,2015.0,Jun,13312.0,2.24,1
90680,2015.0,Jun,15000.0,3.44,1
90703,2015.0,Jun,112628.4,18.89,4
90706,2015.0,Jun,95926.0,15.38,4
90712,2015.0,Jun,30468.0,7.65,2
90717,2015.0,Jun,46150.0,10.35,2
90740,2015.0,Jun,61930.0,18.46,3
90746,2015.0,Jun,30151.0,13.73,3
90802,2015.0,Jun,40391.54,7.26,2
90804,2015.0,Jun,34611.0,5.84,1
90805,2015.0,Jun,65676.48,10.0,4
90806,2015.0,Jun,44003.93,7.1,3
90807,2015.0,Jun,61849.4,16.48,4
90808,2015.0,Jun,176430.8,34.06,8
90810,2015.0,Jun,28825.6,4.88,2
90814,2015.0,Jun,73383.4,16.45,4
90815,2015.0,Jun,138326.1,28.32,6
91001,2015.0,Jun,27238.0,6.36,1
91006,2015.0,Jun,50235.13,20.46,3
91007,2015.0,Jun,20000.0,4.34,1
91008,2015.0,Jun,36632.0,7.35,1
91010,2015.0,Jun,107948.0,19.75,3
91011,2015.0,Jun,64537.4,10.89,2
91016,2015.0,Jun,44823.0,8.42,2
91030,2015.0,Jun,61925.0,11.84,2
91108,2015.0,Jun,136992.0,23.44,3
91301,2015.0,Jun,117476.05,29.34,5
91302,2015.0,Jun,104227.0,42.71,5
91320,2015.0,Jun,78506.0,23.47,5
91321,2015.0,Jun,132725.0,22.57,3
91350,2015.0,Jun,176898.05,50.78,13
91351,2015.0,Jun,135568.66,20.18,5
91354,2015.0,Jun,215919.0,49.76,10
91355,2015.0,Jun,37401.0,15.8,3
91360,2015.0,Jun,126291.0,23.16,4
91361,2015.0,Jun,40404.0,11.39,2
91362,2015.0,Jun,44800.0,16.94,2
91377,2015.0,Jun,38039.0,19.05,2
91381,2015.0,Jun,37023.0,6.79,1
91384,2015.0,Jun,171232.3,53.11,8
91387,2015.0,Jun,146268.61,20.42,4
91390,2015.0,Jun,300537.4,80.65,12
91701,2015.0,Jun,100784.0,23.5,4
91706,2015.0,Jun,59725.0,15.74,3
91709,2015.0,Jun,319553.85,66.55,12
91710,2015.0,Jun,154183.0,26.2,6
91711,2015.0,Jun,422965.79,81.86,13
91722,2015.0,Jun,18144.0,2.17,1
91723,2015.0,Jun,79329.0,9.81,3
91724,2015.0,Jun,126038.0,35.21,4
91730,2015.0,Jun,84434.0,24.44,4
91737,2015.0,Jun,304762.0,53.68,8
91739,2015.0,Jun,247975.46,61.68,10
91740,2015.0,Jun,55200.0,11.77,2
91741,2015.0,Jun,121285.0,22.69,4
91744,2015.0,Jun,52166.0,13.12,2
91745,2015.0,Jun,115087.58,22.75,4
91746,2015.0,Jun,31000.0,5.6,1
91748,2015.0,Jun,18986.5,4.16,1
91750,2015.0,Jun,63833.0,17.37,4
91752,2015.0,Jun,121157.0,24.39,5
91755,2015.0,Jun,17688.0,3.37,1
91762,2015.0,Jun,58852.16,10.13,3
91763,2015.0,Jun,77061.16,12.91,3
91764,2015.0,Jun,15000.0,2.3,1
91765,2015.0,Jun,33499.4,5.42,2
91766,2015.0,Jun,88656.0,7.47,2
91767,2015.0,Jun,20222.0,4.9,1
91770,2015.0,Jun,42417.0,8.13,2
91773,2015.0,Jun,36532.0,9.44,2
91775,2015.0,Jun,63399.0,14.52,3
91780,2015.0,Jun,111711.6,26.39,12
91784,2015.0,Jun,120706.0,32.21,5
91786,2015.0,Jun,34000.0,7.53,1
91789,2015.0,Jun,105929.6,18.68,4
91790,2015.0,Jun,60494.48,14.35,3
91791,2015.0,Jun,76329.41,14.0,3
91792,2015.0,Jun,59581.18,8.34,2
91803,2015.0,Jun,20000.0,5.22,1
91901,2015.0,Jun,101131.0,19.36,4
91902,2015.0,Jun,493440.0,110.14,18
91906,2015.0,Jun,18720.0,2.91,1
91910,2015.0,Jun,194256.0,37.38,11
91911,2015.0,Jun,338939.0,56.0,13
91913,2015.0,Jun,558537.0,100.1,23
91914,2015.0,Jun,386716.0,72.14,15
91915,2015.0,Jun,316077.0,64.73,14
91916,2015.0,Jun,32000.0,6.47,1
91932,2015.0,Jun,100240.0,17.24,4
91935,2015.0,Jun,458391.0,96.16,13
91941,2015.0,Jun,722255.0,152.73,25
91942,2015.0,Jun,222259.0,43.15,9
91945,2015.0,Jun,97518.0,16.53,4
91950,2015.0,Jun,17600.0,3.6,1
91962,2015.0,Jun,26750.0,7.71,1
91977,2015.0,Jun,455790.0,85.01,20
91978,2015.0,Jun,138123.0,22.53,4
92003,2015.0,Jun,66233.0,13.63,3
92004,2015.0,Jun,99628.0,30.34,6
92007,2015.0,Jun,96681.0,19.74,5
92008,2015.0,Jun,357316.0,67.98,14
92009,2015.0,Jun,979002.0,195.2,34
92010,2015.0,Jun,232502.0,40.04,8
92011,2015.0,Jun,200159.0,40.88,8
92014,2015.0,Jun,342588.0,77.13,14
92019,2015.0,Jun,506211.0,106.45,16
92020,2015.0,Jun,574554.0,112.57,21
92021,2015.0,Jun,462998.0,116.86,19
92024,2015.0,Jun,1274450.0,254.05,39
92025,2015.0,Jun,363212.0,68.04,11
92026,2015.0,Jun,586764.0,127.93,22
92027,2015.0,Jun,1000897.0,244.29,37
92028,2015.0,Jun,464406.0,132.35,20
92029,2015.0,Jun,710351.0,154.82,22
92036,2015.0,Jun,19000.0,5.51,1
92037,2015.0,Jun,718600.0,160.79,26
92040,2015.0,Jun,660199.0,140.82,24
92054,2015.0,Jun,59654.0,11.13,3
92056,2015.0,Jun,360364.0,68.52,14
92057,2015.0,Jun,560865.0,111.98,25
