ZIP,total_subsidy,total_kW,project_count,low_income_subsidy,low_income_kW,low_projects,equity_share
90001,920845.79,836.739,19,297642.79,92.095,9.0,0.3232276166457795
90002,375587.7,16.560000000000002,25,373209.7,70.075,24.0,0.9936685892535885
90008,16041.0,62.375,9,0.0,0.0,0.0,0.0
90016,83750.0,42.92,1,0.0,0.0,0.0,0.0
90022,3444583.8200000003,1731.285,85,1573399.82,645.839,45.0,0.45677501324383507
90023,252356.0408,87.195,15,146523.74,39.89,9.0,0.580623073398606
90025,4355920.0,4608.59,3,0.0,0.0,0.0,0.0
90032,676.0,3.9,1,0.0,0.0,0.0,0.0
90038,9100.0,17.7,3,0.0,0.0,0.0,0.0
90040,4138863.4,2821.246,18,24681.0,9.105,2.0,0.0059632313547724235
90043,112149.15,285.537,60,0.0,0.0,0.0,0.0
90044,57603.7,6.46,5,242163.7,142.95499999999998,16.0,4.203960856681082
90046,25443.0,25.372999999999998,7,0.0,0.0,0.0,0.0
90047,2019005.27,1444.51,20,125908.27,42.58,12.0,0.0623615360845492
90048,28036.0,54.91,10,0.0,0.0,0.0,0.0
90049,9625.0,18.33,1,0.0,0.0,0.0,0.0
90056,285172.0,687.827,104,0.0,0.0,0.0,0.0
90059,921578.38,52.18,61,1114879.38,247.476,72.0,1.209749929246387
90061,1583134.97,2287.21,19,619520.97,174.81,14.0,0.3913254281787484
90063,431598.2,113.52,40,326112.2,79.85,25.0,0.7555921224879992
90066,60532.0,125.645,20,20916.0,7.695,1.0,0.34553624529174654
90069,60892.0,89.27,11,0.0,0.0,0.0,0.0
90073,735671.0,404.58,1,0.0,0.0,0.0,0.0
90201,2628852.6799999997,2076.916,24,613621.68,369.625,16.0,0.2334180552103057
90209,94068.0,45.0,3,0.0,0.0,0.0,0.0
90210,1407665.49,1795.944,119,0.0,0.0,0.0,0.0
90211,198834.0,342.534,24,0.0,0.0,0.0,0.0
90212,242433.17,260.20300000000003,38,0.0,0.0,0.0,0.0
90213,21388.0,10.5,1,0.0,0.0,0.0,0.0
90220,1332373.5,1351.4099999999999,31,553172.5,168.948,48.0,0.4151782514437581
90221,739105.05,1146.094,39,652326.05,226.74,47.0,0.8825890852727903
90222,1682278.07,751.456,28,749223.47,235.09,39.0,0.44536244236958994
90230,2186273.27,1928.2640000000001,146,162143.0,105.455,11.0,0.07416410483763541
90232,2626840.5,1987.3750000000002,133,0.0,0.0,0.0,0.0
90233,7828.0,4.56,1,0.0,0.0,0.0,0.0
90240,398423.18,887.904,103,14616.0,5.5,2.0,0.0366846125770092
90241,4199306.2,3435.351,101,253002.0,190.345,4.0,0.06024852391092605
90242,7928990.46,12285.89,69,130256.86,80.205,10.0,0.01642792492400098
90245,3677738.0,2220.503,114,0.0,0.0,0.0,0.0
90247,324248.1,718.708,34,22374.1,7.385,2.0,0.0690030257694648
90248,1888506.31,4622.463,17,31784.309999999998,11.045,3.0,0.0168303965052677
90249,559558.47,666.444,38,56580.0,20.685000000000002,4.0,0.10111543839198789
90250,4089942.81,4186.631,96,172567.14,95.199,7.0,0.04219304474822229
90254,883724.0,1278.402,113,0.0,0.0,0.0,0.0
90255,951129.9,1068.827,31,46923.0,17.259999999999998,5.0,0.049333955330391775
90260,103522.0,161.036,24,46722.0,17.21,4.0,0.45132435617549893
90262,1819853.17,2447.579,109,1515873.17,677.926,115.0,0.8329645462551245
90263,109242.0,75.85,7,0.0,0.0,0.0,0.0
90264,14687.0,8.36,1,0.0,0.0,0.0,0.0
90265,2913583.83,3074.7246,308,0.0,0.0,0.0,0.0
90266,6111226.3376,5808.74,407,0.0,0.0,0.0,0.0
90270,295707.0,302.16,3,23139.0,8.59,2.0,0.07824975397944588
90274,1632491.67,2405.039,286,0.0,0.0,0.0,0.0
90275,2549749.9,3880.871,494,46855.0,80.96000000000001,3.0,0.018376312123789082
90277,1547640.0,2064.703,146,395503.0,247.17,1.0,0.25555232483006385
90278,1484430.0,2610.869,130,0.0,0.0,0.0,0.0
90280,5158470.0,4104.073,71,904702.0,321.425,62.0,0.17538184771841264
90290,1153070.25,1145.547,146,0.0,0.0,0.0,0.0
90291,1294.0,6.5,1,0.0,0.0,0.0,0.0
90292,1102040.0,580.32,1,0.0,0.0,0.0,0.0
90301,762757.0,1074.092,25,550677.0,237.95499999999998,6.0,0.721956009581033
90302,273457.0,208.79999999999998,23,216624.0,75.995,5.0,0.7921684213605795
90303,1349540.99,985.4549999999999,33,63485.990000000005,16.585,4.0,0.04704265411012081
90304,134168.16,151.654,15,173142.16,86.783,10.0,1.2904862077559982
90305,130016.0,143.596,29,11088.0,2.115,1.0,0.08528181146935762
90401,1867361.77,1340.873,28,514233.0,802.9,10.0,0.2753794193826727
90402,914111.0,980.639,153,10711.0,11.16,1.0,0.01171739537102168
90403,1012003.75,682.5310000000001,64,0.0,0.0,0.0,0.0
90404,843311.78,1229.22,66,253369.0,221.16500000000002,4.0,0.300445227979621
90405,2211209.95,1546.689,177,241575.0,196.42,6.0,0.1092501415345024
90406,8892.0,4.05,1,0.0,0.0,0.0,0.0
90501,2194735.41,3795.4839999999995,104,140331.0,50.230000000000004,3.0,0.06393982589454826
90502,260936.0,481.27500000000003,27,3789.0,1.425,1.0,0.01452080203574823
90503,1494019.0,1510.819,105,0.0,0.0,0.0,0.0
90504,201317.67,345.561,83,0.0,0.0,0.0,0.0
90505,1150273.0,2004.598,135,15048.0,2.88,1.0,0.01308211181171774
90601,1142460.8599999999,1715.013,125,36378.0,13.4,3.0,0.031841791061446086
90602,2886894.14,2038.577,45,119471.0,236.665,2.0,0.041383921337690616
90603,382865.0,652.606,112,0.0,0.0,0.0,0.0
90604,375771.55,523.293,114,214813.55,66.459,10.0,0.5716599620168158
90605,322527.0,554.942,106,279784.0,192.055,3.0,0.8674746610361304
90606,114334.0,207.53,29,125749.0,72.27,8.0,1.0998390679937726
90620,2458985.0,2076.78,183,90836.0,80.67,3.0,0.0369404449396804
90621,608089.0,1386.303,91,790740.0,538.249,6.0,1.3003688604793049
90623,721037.0,1088.017,137,320947.0,163.8,2.0,0.4451186277541929
90630,3043386.7,3892.054,321,88512.92,69.375,7.0,0.02908369153351429
90631,4775533.78,3890.8450000000003,304,526272.0,520.8,4.0,0.11020171236229848
90637,3835.0,2.09,1,0.0,0.0,0.0,0.0
90638,4547725.4,3887.205,180,258429.0,91.47,2.0,0.0568259904170995
90639,9024.0,11.7,1,0.0,0.0,0.0,0.0
90640,1328941.0,2220.119,70,65877.0,24.009999999999998,8.0,0.0495710494295834
90650,3743310.5,3308.64,121,215625.0,79.315,18.0,0.05760275563568665
90657,10056.96,4.725,1,0.0,0.0,0.0,0.0
90660,3286575.0,2949.9559999999997,51,628507.0,352.65,11.0,0.19123464396826484
90670,2668610.0,2826.605,33,480565.0,341.71500000000003,4.0,0.18008064123270168
90680,120901.14,160.465,30,194961.14,188.125,4.0,1.612566597800484
90700,3198.0,2.025,1,0.0,0.0,0.0,0.0
90701,133595.0,451.062,32,0.0,0.0,0.0,0.0
90703,2605194.71,4131.7699999999995,273,0.0,0.0,0.0,0.0
90704,76964.0,63.9,14,0.0,0.0,0.0,0.0
90706,1798498.0,1746.479,104,349375.0,332.625,8.0,0.1942593208332731
90710,40458.0,134.117,27,0.0,0.0,0.0,0.0
90711,23328.0,11.424,2,0.0,0.0,0.0,0.0
90712,4218493.0,3850.061,127,156324.0,87.14,2.0,0.037056835225280686
90713,1222575.04,1537.795,134,0.0,0.0,0.0,0.0
90715,102437.0,165.635,38,0.0,0.0,0.0,0.0
